frameIndex,frameTime,voiceProb_sma,F0_sma,pcm_intensity_sma,pcm_loudness_sma,pcm_RMSenergy_sma,pcm_LOGenergy_sma
0,0.000000,4.092345e-01,0,4.387417e-10,4.556987e-02,8.413550e-02,-5.172050e+00
1,0.008345,5.173422e-01,0,4.422890e-10,5.630938e-02,1.375371e-01,-4.259255e+00
2,0.016689,6.612269e-01,7.822695e+01,4.426646e-10,6.178506e-02,2.156263e-01,-3.148997e+00
3,0.025034,7.769390e-01,1.523563e+02,6.168088e-11,4.101788e-02,2.840552e-01,-2.555907e+00
4,0.033379,8.572572e-01,2.199091e+02,1.273826e-07,2.800187e-01,3.464975e-01,-2.137928e+00
5,0.041723,9.050941e-01,2.070463e+02,9.777469e-06,1.189445e+00,3.986168e-01,-1.849549e+00
6,0.050068,9.234440e-01,1.985718e+02,1.597305e-05,1.965658e+00,4.359237e-01,-1.663844e+00
7,0.058413,9.253407e-01,1.966738e+02,4.186665e-05,2.947921e+00,4.564788e-01,-1.568740e+00
8,0.066757,9.220261e-01,1.972600e+02,3.274951e-05,2.416744e+00,4.606725e-01,-1.550164e+00
9,0.075102,9.198870e-01,1.978515e+02,3.044918e-05,2.312640e+00,4.573693e-01,-1.564672e+00
10,0.083447,9.189818e-01,1.984430e+02,2.609367e-05,2.246762e+00,4.505403e-01,-1.594788e+00
11,0.091791,9.184993e-01,1.987387e+02,2.888538e-05,2.527604e+00,4.444516e-01,-1.621930e+00
12,0.100136,9.207711e-01,1.990399e+02,2.632314e-05,2.335901e+00,4.420544e-01,-1.632660e+00
13,0.108481,9.238595e-01,1.996421e+02,1.247379e-05,2.028615e+00,4.438104e-01,-1.624785e+00
14,0.116825,9.280652e-01,2.005510e+02,1.623115e-05,2.197848e+00,4.489925e-01,-1.601615e+00
15,0.125170,9.292322e-01,2.017777e+02,1.586244e-05,2.151084e+00,4.546538e-01,-1.576547e+00
16,0.133515,9.300134e-01,2.033338e+02,1.165534e-05,1.973375e+00,4.566096e-01,-1.567885e+00
17,0.141859,9.310570e-01,2.049014e+02,1.037271e-05,1.924864e+00,4.541839e-01,-1.578630e+00
18,0.150204,9.311438e-01,2.061742e+02,6.301679e-05,2.996749e+00,4.469318e-01,-1.610915e+00
19,0.158549,9.298556e-01,2.074711e+02,6.672039e-05,3.157472e+00,4.336830e-01,-1.671926e+00
20,0.166893,9.225493e-01,2.091167e+02,1.008760e-04,3.773338e+00,4.099238e-01,-1.787493e+00
21,0.175238,9.006588e-01,2.111182e+02,4.762412e-05,2.583154e+00,3.760864e-01,-1.963050e+00
22,0.183583,8.539572e-01,2.128084e+02,5.344206e-05,2.744761e+00,3.369693e-01,-2.184794e+00
23,0.191927,7.799141e-01,2.134883e+02,1.503307e-05,1.871778e+00,2.923194e-01,-2.477866e+00
24,0.200272,7.148001e-01,2.131451e+02,2.819573e-05,2.543912e+00,2.398548e-01,-2.897490e+00
25,0.208617,6.762592e-01,2.124586e+02,2.249528e-05,2.386341e+00,1.867154e-01,-3.409501e+00
26,0.216961,6.619025e-01,2.121154e+02,2.231747e-05,2.367332e+00,1.416236e-01,-3.953137e+00
27,0.225306,6.271489e-01,2.121154e+02,8.965216e-06,1.625960e+00,1.036850e-01,-4.622959e+00
28,0.233651,5.889429e-01,2.121154e+02,2.249682e-06,1.199078e+00,6.304401e-02,-6.057441e+00
29,0.241995,4.146059e-01,2.121154e+02,8.963621e-07,8.209935e-01,4.601360e-02,-6.488230e+00
30,0.250340,2.306384e-01,1.414103e+02,7.294877e-07,5.807813e-01,6.498212e-02,-6.072525e+00
31,0.258685,2.969779e-01,7.070513e+01,1.534890e-08,2.054680e-01,1.101196e-01,-4.575852e+00
32,0.267029,4.990642e-01,7.068331e+01,5.384855e-10,9.653714e-02,1.432997e-01,-3.896737e+00
33,0.275374,7.136677e-01,1.456552e+02,4.317735e-10,8.085958e-02,1.652206e-01,-3.610538e+00
34,0.283719,5.712213e-01,2.287752e+02,5.563412e-09,1.345388e-01,2.017850e-01,-3.247340e+00
35,0.292063,5.665975e-01,1.580919e+02,4.208428e-06,8.253750e-01,2.545159e-01,-2.780128e+00
36,0.300408,6.379824e-01,1.648237e+02,1.027497e-05,1.606327e+00,3.078230e-01,-2.370443e+00
37,0.308753,8.364477e-01,1.604593e+02,1.168705e-05,2.023569e+00,3.503458e-01,-2.105269e+00
38,0.317098,9.125615e-01,2.358801e+02,7.701626e-06,1.603837e+00,3.878525e-01,-1.901083e+00
39,0.325442,9.353603e-01,2.295972e+02,1.134021e-05,1.724329e+00,4.197021e-01,-1.739484e+00
40,0.333787,9.403015e-01,2.270440e+02,1.942096e-05,2.120278e+00,4.331916e-01,-1.673459e+00
41,0.342132,9.403215e-01,2.282204e+02,4.571220e-05,3.065913e+00,4.292222e-01,-1.692337e+00
42,0.350476,9.386160e-01,2.293969e+02,4.087982e-05,2.894777e+00,4.183806e-01,-1.743069e+00
43,0.358821,9.332235e-01,2.297917e+02,4.327489e-05,2.958323e+00,4.086130e-01,-1.790214e+00
44,0.367166,9.245192e-01,2.297917e+02,2.455479e-05,2.577369e+00,4.059599e-01,-1.803137e+00
45,0.375510,9.215394e-01,2.297917e+02,2.725678e-05,2.682837e+00,4.084384e-01,-1.791194e+00
46,0.383855,9.248924e-01,2.301948e+02,7.368349e-05,3.278227e+00,4.183422e-01,-1.743414e+00
47,0.392200,9.297342e-01,2.314128e+02,7.653407e-05,3.362373e+00,4.285741e-01,-1.694899e+00
48,0.400544,9.303734e-01,2.334631e+02,7.404401e-05,3.266485e+00,4.319023e-01,-1.679191e+00
49,0.408889,9.306175e-01,2.359606e+02,4.448161e-05,2.966514e+00,4.316959e-01,-1.680153e+00
50,0.417234,9.327546e-01,2.389610e+02,4.075932e-05,2.852355e+00,4.254934e-01,-1.709139e+00
51,0.425578,9.359341e-01,2.424762e+02,4.029949e-05,2.831190e+00,4.199713e-01,-1.735407e+00
52,0.433923,9.391515e-01,2.460695e+02,4.605979e-05,2.902664e+00,4.113394e-01,-1.776917e+00
53,0.442268,9.426231e-01,2.497861e+02,6.027315e-05,3.232152e+00,4.074920e-01,-1.795552e+00
54,0.450612,9.442351e-01,2.531273e+02,7.117581e-05,3.553635e+00,4.098563e-01,-1.784178e+00
55,0.458957,9.422582e-01,2.560429e+02,3.959364e-05,2.852865e+00,4.184123e-01,-1.743022e+00
56,0.467302,9.427225e-01,2.580205e+02,6.045473e-05,3.117664e+00,4.262499e-01,-1.705596e+00
57,0.475646,9.476555e-01,2.590265e+02,6.183184e-05,3.144910e+00,4.297162e-01,-1.689264e+00
58,0.483991,9.549851e-01,2.605717e+02,6.596436e-05,3.337999e+00,4.327499e-01,-1.675261e+00
59,0.492336,9.591916e-01,2.626563e+02,2.866500e-05,2.652715e+00,4.342658e-01,-1.668258e+00
60,0.500680,9.598021e-01,2.647409e+02,4.512911e-05,2.897689e+00,4.305898e-01,-1.685591e+00
61,0.509025,9.593131e-01,2.657831e+02,4.142975e-05,2.731587e+00,4.138956e-01,-1.766572e+00
62,0.517370,9.563190e-01,2.657831e+02,7.311129e-05,3.356894e+00,3.881297e-01,-1.896921e+00
63,0.525714,9.496656e-01,2.652558e+02,3.982309e-05,2.247109e+00,3.533627e-01,-2.087928e+00
64,0.534059,9.321701e-01,2.626918e+02,6.286651e-05,2.817429e+00,3.133204e-01,-2.335103e+00
65,0.542404,8.922768e-01,2.586185e+02,4.542086e-05,2.575011e+00,2.699120e-01,-2.636610e+00
66,0.550748,7.759205e-01,2.550725e+02,4.558386e-05,2.660724e+00,2.300045e-01,-2.956190e+00
67,0.559093,6.780996e-01,2.630867e+02,2.746059e-05,2.297303e+00,2.001905e-01,-3.227357e+00
68,0.567438,5.480797e-01,2.758742e+02,1.028970e-05,1.726332e+00,1.792157e-01,-3.442962e+00
69,0.575782,4.652939e-01,1.913531e+02,1.038180e-05,1.756977e+00,1.722107e-01,-3.519126e+00
70,0.584127,3.856854e-01,9.730853e+01,6.208259e-06,1.591372e+00,1.727239e-01,-3.513391e+00
71,0.592472,3.450868e-01,0,1.207847e-05,1.895090e+00,1.723834e-01,-3.517535e+00
72,0.600816,3.217929e-01,0,1.186013e-05,1.804736e+00,1.637680e-01,-3.624981e+00
73,0.609161,2.695425e-01,0,7.788068e-06,1.277249e+00,1.648114e-01,-3.613470e+00
74,0.617506,2.916589e-01,0,4.802264e-06,1.159220e+00,1.951486e-01,-3.318851e+00
75,0.625850,4.499092e-01,0,6.328211e-06,1.453482e+00,2.497815e-01,-2.821379e+00
76,0.634195,6.674483e-01,7.353333e+01,6.832632e-06,1.659401e+00,3.096008e-01,-2.365524e+00
77,0.642540,8.454401e-01,1.459958e+02,3.541857e-06,1.432067e+00,3.561527e-01,-2.074160e+00
78,0.650884,9.067037e-01,2.167075e+02,5.098127e-06,1.551099e+00,3.948224e-01,-1.863220e+00
79,0.659229,9.230886e-01,2.132059e+02,1.969971e-05,2.211614e+00,4.206615e-01,-1.733970e+00
80,0.667574,9.189095e-01,2.098025e+02,1.961934e-05,2.202364e+00,4.301297e-01,-1.687612e+00
81,0.675918,9.121373e-01,2.065583e+02,2.990311e-05,2.556874e+00,4.248973e-01,-1.712539e+00
82,0.684263,9.082907e-01,2.027782e+02,3.986786e-05,2.728386e+00,4.086619e-01,-1.790780e+00
83,0.692608,9.086894e-01,1.987979e+02,8.811273e-05,3.724733e+00,3.968422e-01,-1.849169e+00
84,0.700952,9.084541e-01,1.952773e+02,9.408125e-05,3.842285e+00,3.874736e-01,-1.896273e+00
85,0.709297,9.035922e-01,1.921456e+02,8.829471e-05,3.750178e+00,3.833441e-01,-1.917731e+00
86,0.717642,8.944070e-01,1.899158e+02,3.985760e-05,2.729912e+00,3.820751e-01,-1.924314e+00
87,0.725986,8.908034e-01,1.888179e+02,2.045361e-05,1.787047e+00,3.811778e-01,-1.929006e+00
88,0.734331,8.991006e-01,1.882807e+02,1.420800e-05,1.662537e+00,3.840894e-01,-1.913805e+00
89,0.742676,9.100082e-01,1.872288e+02,4.750794e-05,2.527874e+00,3.855325e-01,-1.906323e+00
90,0.751020,9.147283e-01,1.854043e+02,7.186455e-05,3.550240e+00,3.883313e-01,-1.891799e+00
91,0.759365,9.148386e-01,1.833439e+02,5.940619e-05,2.950170e+00,3.895130e-01,-1.885727e+00
92,0.767710,9.113517e-01,1.818201e+02,4.346769e-05,2.721870e+00,3.917038e-01,-1.874526e+00
93,0.776054,9.018199e-01,1.813178e+02,1.915820e-05,1.742030e+00,3.926430e-01,-1.869722e+00
94,0.784399,8.939838e-01,1.820776e+02,4.495510e-05,2.577402e+00,3.894268e-01,-1.886378e+00
95,0.792744,8.968834e-01,1.843961e+02,2.664261e-05,1.715874e+00,3.844550e-01,-1.912074e+00
96,0.801088,9.024915e-01,1.872646e+02,3.439213e-05,2.346962e+00,3.769113e-01,-1.951675e+00
97,0.809433,8.941835e-01,1.899294e+02,1.086373e-05,1.746675e+00,3.752481e-01,-1.960454e+00
98,0.817778,8.840261e-01,1.924165e+02,1.095529e-05,1.790815e+00,3.739842e-01,-1.967147e+00
99,0.826122,8.855229e-01,1.949762e+02,3.856702e-06,1.355480e+00,3.738395e-01,-1.967930e+00
100,0.834467,9.012327e-01,1.975767e+02,2.319161e-06,1.225776e+00,3.746280e-01,-1.963753e+00
101,0.842812,9.140497e-01,1.993464e+02,8.403850e-06,1.737262e+00,3.762144e-01,-1.955364e+00
102,0.851156,9.201159e-01,2.005510e+02,4.657670e-05,2.702977e+00,3.817953e-01,-1.925808e+00
103,0.859501,9.229540e-01,2.017777e+02,6.015155e-05,3.238185e+00,3.804260e-01,-1.933078e+00
104,0.867846,9.230864e-01,2.030156e+02,5.583532e-05,3.002496e+00,3.777912e-01,-1.947072e+00
105,0.876190,9.217471e-01,2.039469e+02,8.171013e-05,3.232192e+00,3.745939e-01,-1.963843e+00
106,0.884535,9.197302e-01,2.042593e+02,6.690677e-05,2.438430e+00,3.707260e-01,-1.984818e+00
107,0.892880,9.141061e-01,2.042593e+02,7.036098e-05,2.639369e+00,3.666899e-01,-2.006841e+00
108,0.901224,8.992679e-01,2.039469e+02,4.202569e-05,2.382702e+00,3.584292e-01,-2.052233e+00
109,0.909569,8.798806e-01,2.030156e+02,4.239285e-05,2.508549e+00,3.533635e-01,-2.080740e+00
110,0.917914,8.547176e-01,2.011808e+02,3.727184e-05,2.067471e+00,3.452939e-01,-2.127081e+00
111,0.926259,8.191962e-01,1.987710e+02,1.885781e-05,1.808156e+00,3.394416e-01,-2.161217e+00
112,0.934603,7.468371e-01,1.958481e+02,2.152164e-05,2.087547e+00,3.398196e-01,-2.159048e+00
113,0.942948,6.893981e-01,1.927164e+02,2.174545e-05,2.144309e+00,3.412712e-01,-2.150471e+00
114,0.951293,7.135935e-01,1.896730e+02,2.453348e-05,2.192929e+00,3.457458e-01,-2.124214e+00
115,0.959637,8.016344e-01,1.872335e+02,2.138443e-05,1.648189e+00,3.482952e-01,-2.109761e+00
116,0.967982,8.869789e-01,1.859063e+02,5.447378e-05,2.592688e+00,3.593952e-01,-2.047587e+00
117,0.976327,9.076910e-01,1.856400e+02,4.322517e-05,2.353208e+00,3.694133e-01,-1.992301e+00
118,0.984671,9.002374e-01,1.861637e+02,4.675602e-05,2.920746e+00,3.790682e-01,-1.940242e+00
119,0.993016,8.910449e-01,1.869536e+02,2.454363e-05,2.552484e+00,3.896384e-01,-1.885981e+00
120,1.001361,8.863364e-01,1.880190e+02,1.502576e-05,1.844307e+00,4.007334e-01,-1.829669e+00
121,1.009705,8.882951e-01,1.890934e+02,1.424364e-05,1.795427e+00,4.137738e-01,-1.765246e+00
122,1.018050,8.927616e-01,1.904576e+02,5.156838e-06,1.430754e+00,4.238021e-01,-1.717553e+00
123,1.026395,9.006233e-01,1.924165e+02,1.504178e-05,2.149285e+00,4.356591e-01,-1.662207e+00
124,1.034739,9.123710e-01,1.952773e+02,4.380231e-05,2.825932e+00,4.440712e-01,-1.623727e+00
125,1.043084,9.223531e-01,1.987979e+02,9.467691e-05,3.755168e+00,4.508854e-01,-1.593163e+00
126,1.051429,9.259762e-01,2.021237e+02,1.013328e-04,3.908519e+00,4.581788e-01,-1.561269e+00
127,1.059773,9.241059e-01,2.052493e+02,7.504928e-05,3.365099e+00,4.631961e-01,-1.539333e+00
128,1.068118,9.215587e-01,2.084935e+02,5.463453e-05,3.158746e+00,4.635078e-01,-1.537968e+00
129,1.076463,9.223099e-01,2.121874e+02,6.894515e-05,3.379440e+00,4.593278e-01,-1.556060e+00
130,1.084807,9.250641e-01,2.159794e+02,7.698241e-05,3.624622e+00,4.545515e-01,-1.576926e+00
131,1.093152,9.170640e-01,2.191724e+02,4.593346e-05,2.851796e+00,4.523989e-01,-1.586411e+00
132,1.101497,8.725979e-01,2.221158e+02,2.173485e-05,2.375118e+00,4.488701e-01,-1.602076e+00
133,1.109841,8.209340e-01,2.251489e+02,5.324496e-05,2.818366e+00,4.492465e-01,-1.600408e+00
134,1.118186,8.161212e-01,2.282446e+02,5.297994e-05,2.791959e+00,4.517930e-01,-1.589202e+00
135,1.126531,8.637776e-01,2.306063e+02,8.341455e-05,3.342159e+00,4.584363e-01,-1.560010e+00
136,1.134875,9.181242e-01,2.310094e+02,4.066233e-05,2.465307e+00,4.650626e-01,-1.531304e+00
137,1.143220,9.296610e-01,2.294298e+02,5.098722e-05,2.915923e+00,4.652461e-01,-1.530504e+00
138,1.151565,9.194738e-01,2.266814e+02,6.772944e-05,3.077780e+00,4.608114e-01,-1.549848e+00
139,1.159909,9.122722e-01,2.236165e+02,7.300053e-05,3.346136e+00,4.517427e-01,-1.589454e+00
140,1.168254,9.152951e-01,2.199510e+02,7.957625e-05,3.484209e+00,4.397374e-01,-1.643947e+00
141,1.176599,9.227803e-01,2.146917e+02,3.141349e-05,2.733993e+00,4.248772e-01,-1.713193e+00
142,1.184943,9.261035e-01,2.086184e+02,6.497073e-05,3.303144e+00,4.078775e-01,-1.794442e+00
143,1.193288,9.266787e-01,2.031149e+02,7.045992e-05,3.393664e+00,3.957182e-01,-1.854585e+00
144,1.201633,9.264166e-01,1.990833e+02,7.063969e-05,3.400947e+00,3.892081e-01,-1.887344e+00
145,1.209977,9.276386e-01,1.964042e+02,4.017415e-05,2.925828e+00,3.867136e-01,-1.900146e+00
146,1.218322,9.267936e-01,1.946555e+02,4.620361e-05,3.009745e+00,3.918619e-01,-1.874015e+00
147,1.226667,9.257854e-01,1.937942e+02,4.851473e-05,3.091927e+00,4.009578e-01,-1.828678e+00
148,1.235011,9.244661e-01,1.932283e+02,7.277549e-05,3.499038e+00,4.140007e-01,-1.764308e+00
149,1.243356,9.256638e-01,1.926674e+02,4.315047e-05,2.528998e+00,4.289322e-01,-1.693848e+00
150,1.251701,9.274247e-01,1.921065e+02,3.549044e-05,2.047158e+00,4.401137e-01,-1.642035e+00
151,1.260045,9.281288e-01,1.918261e+02,2.459147e-05,1.903356e+00,4.490442e-01,-1.601292e+00
152,1.268390,9.242358e-01,1.921065e+02,3.545535e-05,2.544080e+00,4.511642e-01,-1.591865e+00
153,1.276735,9.039528e-01,1.926674e+02,8.722177e-05,3.673177e+00,4.521461e-01,-1.587502e+00
154,1.285079,8.740332e-01,1.932283e+02,6.723601e-05,3.164407e+00,4.562741e-01,-1.569478e+00
155,1.293424,8.615139e-01,1.932283e+02,5.623053e-05,2.462137e+00,4.569158e-01,-1.566651e+00
156,1.301769,8.777128e-01,1.926674e+02,4.450040e-05,2.350750e+00,4.609472e-01,-1.549030e+00
157,1.310113,9.069252e-01,1.921065e+02,4.097266e-05,1.962881e+00,4.636306e-01,-1.537570e+00
158,1.318458,9.222167e-01,1.921065e+02,4.977467e-05,2.604031e+00,4.684161e-01,-1.516856e+00
159,1.326803,9.251453e-01,1.926674e+02,2.753076e-05,2.305681e+00,4.674505e-01,-1.521034e+00
160,1.335147,9.234655e-01,1.932283e+02,3.530737e-05,2.868953e+00,4.521123e-01,-1.589364e+00
161,1.343492,9.172462e-01,1.935088e+02,7.947113e-05,3.500897e+00,4.312443e-01,-1.684823e+00
162,1.351837,8.920268e-01,1.935088e+02,6.918617e-05,3.258491e+00,4.002464e-01,-1.835116e+00
163,1.360181,8.513893e-01,1.929527e+02,1.246241e-04,4.002828e+00,3.702991e-01,-1.992882e+00
164,1.368526,8.272732e-01,1.918406e+02,7.803749e-05,3.289946e+00,3.370639e-01,-2.180402e+00
165,1.376871,8.276522e-01,1.901913e+02,7.124720e-05,2.921962e+00,3.089195e-01,-2.354294e+00
166,1.385215,8.432207e-01,1.880415e+02,1.753259e-05,2.229682e+00,2.869406e-01,-2.499694e+00
167,1.393560,8.402345e-01,1.875410e+02,1.118044e-05,1.683904e+00,2.718264e-01,-2.606253e+00
168,1.401905,8.355438e-01,1.903631e+02,1.744860e-05,2.034663e+00,2.656617e-01,-2.651256e+00
169,1.410249,8.350298e-01,1.960335e+02,1.032508e-05,1.735705e+00,2.583450e-01,-2.707664e+00
170,1.418594,8.312055e-01,2.032321e+02,2.554440e-05,2.520606e+00,2.507158e-01,-2.768700e+00
171,1.426939,8.106081e-01,2.079635e+02,2.543599e-05,2.516926e+00,2.383258e-01,-2.869526e+00
172,1.435283,7.714660e-01,2.065529e+02,3.602346e-05,2.903571e+00,2.305365e-01,-2.935334e+00
173,1.443628,7.069480e-01,2.022025e+02,2.350052e-05,2.486340e+00,2.225726e-01,-3.005635e+00
174,1.451973,5.982782e-01,2.049521e+02,2.683552e-05,2.585782e+00,2.298766e-01,-2.944371e+00
175,1.460317,5.416957e-01,1.388953e+02,1.458950e-05,2.038186e+00,2.481097e-01,-2.799431e+00
176,1.468662,5.919372e-01,1.435110e+02,1.219613e-05,1.771017e+00,2.809528e-01,-2.547762e+00
177,1.477007,7.279270e-01,1.372269e+02,1.727908e-05,1.887257e+00,3.104304e-01,-2.345547e+00
178,1.485351,8.401038e-01,2.006177e+02,1.943900e-05,2.081606e+00,3.363403e-01,-2.182188e+00
179,1.493696,8.835979e-01,1.933833e+02,2.426493e-05,2.477683e+00,3.596875e-01,-2.047702e+00
180,1.502041,8.966620e-01,1.888316e+02,2.341622e-05,2.460304e+00,3.717252e-01,-1.980026e+00
181,1.510385,9.012462e-01,1.869760e+02,3.793351e-05,2.904710e+00,3.762283e-01,-1.955309e+00
182,1.518730,9.050097e-01,1.848807e+02,3.266176e-05,2.276984e+00,3.678920e-01,-2.000278e+00
183,1.527075,9.075804e-01,1.833312e+02,1.852058e-05,1.676703e+00,3.605039e-01,-2.040993e+00
184,1.535420,9.044544e-01,1.823182e+02,4.949978e-06,1.286269e+00,3.527807e-01,-2.083964e+00
185,1.543764,9.027552e-01,1.813219e+02,1.599548e-05,2.103296e+00,3.470252e-01,-2.116883e+00
186,1.552109,9.044968e-01,1.803337e+02,5.583751e-05,3.068087e+00,3.443394e-01,-2.132322e+00
187,1.560454,9.089214e-01,1.795946e+02,6.594288e-05,3.388880e+00,3.454356e-01,-2.126052e+00
188,1.568798,9.081679e-01,1.795946e+02,7.918591e-05,3.642763e+00,3.503147e-01,-2.098042e+00
189,1.577143,8.930009e-01,1.798396e+02,5.713171e-05,3.348680e+00,3.533250e-01,-2.080761e+00
190,1.585488,8.588310e-01,1.798396e+02,6.328057e-05,3.465913e+00,3.528892e-01,-2.083247e+00
191,1.593832,8.238461e-01,1.793535e+02,5.707359e-05,3.363721e+00,3.527371e-01,-2.084103e+00
192,1.602177,8.125942e-01,1.783892e+02,5.241280e-05,3.271601e+00,3.524890e-01,-2.085510e+00
193,1.610522,8.358285e-01,1.776699e+02,4.139095e-05,3.032438e+00,3.500050e-01,-2.099858e+00
194,1.618866,8.686331e-01,1.779149e+02,2.789373e-05,2.660193e+00,3.454430e-01,-2.126045e+00
195,1.627211,8.964691e-01,1.791243e+02,3.648192e-05,2.818083e+00,3.402332e-01,-2.156308e+00
196,1.635556,9.060194e-01,1.803336e+02,2.745312e-05,2.225658e+00,3.349600e-01,-2.187831e+00
197,1.643900,8.988976e-01,1.808197e+02,4.821688e-05,2.715646e+00,3.190382e-01,-2.288240e+00
198,1.652245,8.641033e-01,1.818412e+02,2.608651e-05,1.900451e+00,2.959291e-01,-2.442019e+00
199,1.660590,7.406886e-01,1.831030e+02,4.798958e-05,2.762375e+00,2.646677e-01,-2.667584e+00
200,1.668934,5.282753e-01,1.228298e+02,2.266872e-05,1.721442e+00,2.326567e-01,-2.931396e+00
201,1.677279,3.164511e-01,6.153497e+01,2.876612e-05,2.170419e+00,1.991506e-01,-3.245977e+00
202,1.685624,2.116866e-01,0,8.751253e-06,1.579819e+00,1.767968e-01,-3.472339e+00
203,1.693968,2.039482e-01,0,8.864091e-06,1.664048e+00,1.660313e-01,-3.591166e+00
204,1.702313,2.123146e-01,0,2.844582e-06,1.232879e+00,1.654326e-01,-3.598388e+00
205,1.710658,2.052236e-01,0,9.251325e-06,1.531936e+00,1.697174e-01,-3.548628e+00
206,1.719002,1.880758e-01,0,9.547136e-06,1.631435e+00,1.758179e-01,-3.478715e+00
207,1.727347,1.814019e-01,0,1.662281e-05,2.099961e+00,1.859200e-01,-3.366238e+00
208,1.735692,1.875821e-01,0,1.430511e-05,2.020220e+00,1.899401e-01,-3.322705e+00
209,1.744036,2.109238e-01,0,1.422283e-05,1.998882e+00,1.894594e-01,-3.327955e+00
210,1.752381,2.415721e-01,0,1.222776e-05,1.924586e+00,1.848639e-01,-3.376783e+00
211,1.760726,2.689662e-01,0,7.482511e-06,1.645079e+00,1.931435e-01,-3.295190e+00
212,1.769070,3.010626e-01,0,1.729095e-05,2.230680e+00,2.162872e-01,-3.080137e+00
213,1.777415,4.311697e-01,0,1.199727e-05,1.781799e+00,2.438592e-01,-2.829709e+00
214,1.785760,6.000928e-01,7.070513e+01,1.187384e-05,1.768489e+00,2.678260e-01,-2.637859e+00
215,1.794104,7.766876e-01,1.414103e+02,3.999845e-06,1.434229e+00,2.887206e-01,-2.489669e+00
216,1.802449,8.438225e-01,2.121154e+02,8.685187e-06,1.856799e+00,3.140122e-01,-2.321329e+00
217,1.810794,8.622256e-01,2.124586e+02,3.807243e-05,2.642146e+00,3.320882e-01,-2.206143e+00
218,1.819138,8.647314e-01,2.138519e+02,3.669235e-05,2.499465e+00,3.419148e-01,-2.146410e+00
219,1.827483,8.740220e-01,2.163161e+02,8.159238e-05,3.245996e+00,3.489468e-01,-2.106279e+00
220,1.835828,8.927052e-01,2.191724e+02,5.206863e-05,2.444918e+00,3.580731e-01,-2.054901e+00
221,1.844172,9.088097e-01,2.217291e+02,5.542003e-05,2.708890e+00,3.691799e-01,-1.993263e+00
222,1.852517,9.214159e-01,2.239805e+02,1.390114e-05,2.088210e+00,3.780301e-01,-1.945965e+00
223,1.860862,9.243352e-01,2.258834e+02,4.449383e-05,2.902630e+00,3.860613e-01,-1.903812e+00
224,1.869206,9.278199e-01,2.270359e+02,7.859809e-05,3.570295e+00,3.945855e-01,-1.860092e+00
225,1.877551,9.290054e-01,2.274227e+02,7.136590e-05,3.176786e+00,4.026512e-01,-1.819727e+00
226,1.885896,9.298506e-01,2.274227e+02,5.189432e-05,2.853423e+00,4.080963e-01,-1.792592e+00
227,1.894240,9.244011e-01,2.274227e+02,3.109040e-05,2.564270e+00,4.014884e-01,-1.826230e+00
228,1.902585,9.078605e-01,2.274227e+02,3.084493e-05,2.530738e+00,3.875002e-01,-1.897873e+00
229,1.910930,8.608015e-01,2.274227e+02,2.522640e-05,2.366901e+00,3.711296e-01,-1.983030e+00
230,1.919274,8.064641e-01,2.270359e+02,1.012205e-05,1.879748e+00,3.589262e-01,-2.050001e+00
231,1.927619,8.001986e-01,2.262624e+02,2.228909e-05,2.431829e+00,3.457738e-01,-2.125202e+00
232,1.935964,8.437260e-01,2.229877e+02,1.609149e-05,1.996585e+00,3.397382e-01,-2.159562e+00
233,1.944308,9.028878e-01,2.175986e+02,1.505957e-05,1.905603e+00,3.515168e-01,-2.094812e+00
234,1.952653,9.234104e-01,2.125964e+02,8.831203e-06,1.728794e+00,3.749267e-01,-1.966336e+00
235,1.960998,9.248521e-01,2.100953e+02,1.542875e-05,2.178364e+00,3.948840e-01,-1.858887e+00
236,1.969342,9.223815e-01,2.097649e+02,2.678300e-05,2.656981e+00,4.032563e-01,-1.816409e+00
237,1.977687,9.156892e-01,2.087801e+02,4.640941e-05,3.070001e+00,4.073875e-01,-1.796100e+00
238,1.986032,8.998805e-01,2.071529e+02,4.187279e-05,2.851818e+00,4.072682e-01,-1.796693e+00
239,1.994376,8.865406e-01,2.049189e+02,5.546903e-05,3.093363e+00,4.028581e-01,-1.818730e+00
240,2.002721,8.858278e-01,2.021237e+02,3.100268e-05,2.426066e+00,3.916971e-01,-1.875087e+00
241,2.011066,8.957930e-01,1.990833e+02,2.873237e-05,2.142415e+00,3.806913e-01,-1.932244e+00
242,2.019410,8.991377e-01,1.964042e+02,7.395151e-06,1.658703e+00,3.666637e-01,-2.007616e+00
243,2.027755,8.868907e-01,1.943751e+02,7.820600e-06,1.692630e+00,3.499888e-01,-2.101831e+00
244,2.036100,8.593404e-01,1.929528e+02,1.255363e-05,2.112729e+00,3.328807e-01,-2.201723e+00
245,2.044444,8.313087e-01,1.915600e+02,2.589016e-05,2.469382e+00,3.110600e-01,-2.339079e+00
246,2.052789,7.814056e-01,1.899202e+02,4.347715e-05,3.003165e+00,2.969770e-01,-2.430544e+00
247,2.061134,7.213030e-01,1.872730e+02,4.078980e-05,2.850237e+00,2.938437e-01,-2.450578e+00
248,2.069478,7.001427e-01,1.841507e+02,4.171305e-05,2.866672e+00,3.066792e-01,-2.366401e+00
249,2.077823,7.456557e-01,1.818413e+02,2.430849e-05,2.346165e+00,3.250045e-01,-2.249676e+00
